,EDAD
1646,39
1647,26
1648,51
1649,37
1650,55
1651,36
1652,50
1653,41
1654,74
1655,30
1656,28
1657,19
1658,63
1659,32
1660,38
1661,46
1662,45
1663,37
1664,58
1665,31
1666,39
1667,20
1668,37
1669,36
1670,34
1671,49
1672,33
1673,62
1674,42
1675,71
1676,46
1677,55
1678,62
1679,26
1680,30
1681,31
1682,26
1683,39
1684,53
1685,38
1686,65
1687,73
1688,45
1689,52
1690,33
1691,41
1692,52
1693,40
1694,50
1695,34
1696,34
1697,35
1698,37
1699,47
1700,35
1701,64
1702,54
1703,29
1704,43
1705,44
1706,44
1707,46
1708,61
1709,35
1710,59
1711,45
1712,51
1713,41
1714,42
1715,58
1716,59
1717,27
1718,74
1719,49
1720,35
1721,25
1722,43
1723,38
1724,64
1725,83
1726,33
1727,82
1728,79
1729,52
1730,33
1731,40
1732,43
1733,42
1734,48
1735,35
1736,20
1737,44
1738,56
1739,40
1740,31
1741,37
1742,61
1743,31
1744,74
1745,79
1746,70
1747,62
1748,48
1749,57
1750,54
1751,43
1752,72
1753,39
1754,62
1755,51
1756,63
1757,69
1758,79
1759,71
1760,53
1761,48
1762,80
1763,27
1764,68
1765,50
1766,84
1767,45
1768,30
1769,82
1770,52
1771,28
1772,41
1773,68
1774,46
1775,78
1776,49
1777,41
1778,63
1779,51
1780,46
1781,47
1782,17
1783,53
1784,44
1785,46
1786,40
1787,68
1788,30
1789,46
1790,44
1791,71
1792,37
1793,53
1794,47
1795,44
1796,59
1797,76
1798,87
1799,46
1800,34
1801,42
1802,67
1803,70
1804,46
1805,41
1806,3
1807,59
1808,77
1809,61
1810,58
1811,61
1812,38
1813,82
1814,47
1815,61
1816,81
1817,38
1818,40
1819,66
1820,46
1821,72
1822,32
1823,33
1824,45
1825,38
1826,48
1827,60
1828,73
1829,73
1830,57
1831,46
1832,42
1833,27
1834,22
1835,62
1836,48
1837,67
1838,33
1839,29
1840,71
1841,55
1842,103
1843,70
1844,84
1845,41
1846,22
1847,45
1848,40
1849,58
1850,49
1851,37
1852,31
1853,35
1854,35
1855,38
1856,79
1857,45
1858,26
1859,88
1860,26
1861,39
1862,40
1863,37
1864,47
1865,32
1866,57
1867,64
1868,51
1869,44
1870,71
1871,44
1872,59
1873,42
1874,42
1875,63
1876,53
1877,52
1878,30
1879,54
1880,31
1881,29
1882,37
1883,57
1884,32
1885,49
1886,67
1887,59
1888,62
1889,56
1890,77
1891,37
1892,31
1893,30
1894,34
1895,57
1896,37
1897,29
1898,44
1899,78
1900,47
1901,71
1902,30
1903,31
1904,36
1905,56
1906,51
1907,27
1908,34
1909,37
1910,46
1911,26
1912,46
1913,73
1914,38
1915,42
1916,25
1917,35
1918,57
1919,49
1920,71
1921,47
1922,59
1923,30
1924,30
1925,31
1926,45
1927,36
1928,16
1929,85
1930,59
1931,44
1932,48
1933,73
1934,27
1935,46
1936,72
1937,26
1938,60
1939,42
1940,38
1941,46
1942,60
1943,31
1944,63
1945,25
1946,40
1947,43
1948,51
1949,46
1950,27
1951,29
1952,19
1953,33
1954,27
1955,40
1956,58
1957,26
1958,48
1959,61
1960,28
1961,33
1962,41
1963,21
1964,73
1965,37
1966,67
1967,54
1968,29
1969,34
1970,48
1971,64
1972,40
1973,55
1974,30
1975,29
1976,4
1977,27
1978,25
1979,56
1980,32
1981,58
1982,30
1983,42
1984,51
1985,23
1986,34
1987,49
1988,29
1989,61
1990,54
1991,39
1992,59
1993,55
1994,44
1995,41
1996,41
1997,35
1998,24
1999,43
2000,27
2001,29
2002,36
2003,29
2004,44
2005,62
2006,46
2007,31
2008,65
2009,28
2010,71
2011,45
2012,35
2013,29
2014,30
2015,60
2016,69
2017,30
2018,52
2019,73
2020,39
2021,43
2022,35
2023,66
2024,54
2025,38
2026,47
2027,36
2028,45
2029,67
2030,29
2031,38
2032,52
2033,19
2034,43
2035,50
2036,33
2037,64
2038,49
2039,29
2040,51
2041,67
2042,48
2043,60
2044,34
2045,36
2046,79
2047,78
2048,34
2049,37
2050,55
2051,69
2052,59
2053,76
2054,42
2055,45
2056,38
2057,66
2058,49
2059,52
2060,33
2061,61
2062,64
2063,39
2064,36
2065,53
2066,37
2067,45
2068,40
2069,62
2070,92
2071,35
2072,50
2073,62
2074,52
2075,72
2076,61
2077,52
2078,38
2079,56
2080,80
2081,55
2082,48
2083,53
2084,62
2085,31
2086,25
2087,28
2088,59
2089,69
2090,47
2091,74
2092,61
2093,32
2094,26
2095,41
2096,59
2097,32
2098,72
2099,35
2100,39
2101,56
2102,37
2103,66
2104,41
2105,32
2106,26
2107,47
2108,37
2109,53
2110,66
2111,57
2112,29
2113,35
2114,60
2115,50
2116,30
2117,47
2118,45
2119,73
2120,65
2121,29
2122,56
2123,44
2124,39
2125,78
2126,61
2127,66
2128,34
2129,41
2130,75
2131,85
2132,32
2133,57
2134,45
2135,54
2136,49
2137,0
2138,51
2139,41
2140,35
2141,28
2142,42
2143,60
2144,44
2145,49
2146,28
2147,33
2148,36
2149,46
2150,40
2151,52
2152,29
2153,42
2154,36
2155,61
2156,52
2157,61
2158,58
2159,34
2160,54
2161,71
2162,46
2163,74
2164,47
2165,62
2166,23
2167,55
2168,68
2169,42
2170,47
2171,37
2172,58
2173,80
2174,23
2175,78
2176,43
2177,81
2178,28
2179,71
2180,42
2181,48
2182,41
2183,38
2184,36
2185,38
2186,40
2187,48
2188,30
2189,30
2190,49
2191,43
2192,44
2193,70
2194,49
2195,40
2196,29
2197,35
2198,54
2199,40
2200,48
2201,66
2202,38
2203,43
2204,29
2205,41
2206,52
2207,80
2208,54
2209,59
2210,65
2211,49
2212,34
2213,38
2214,55
2215,61
2216,64
2217,56
2218,54
2219,69
2220,58
2221,30
2222,34
2223,27
2224,41
2225,69
2226,46
2227,66
2228,37
2229,54
2230,36
2231,58
2232,53
2233,59
2234,31
2235,53
2236,34
2237,77
2238,37
2239,53
2240,63
2241,62
2242,61
2243,47
2244,38
2245,41
2246,32
2247,29
2248,67
2249,28
2250,33
2251,58
2252,55
2253,53
2254,29
2255,58
2256,44
2257,49
2258,78
2259,57
2260,49
2261,69
2262,60
2263,84
2264,42
2265,32
2266,45
2267,42
2268,47
2269,31
2270,37
2271,66
2272,38
2273,35
2274,37
2275,45
2276,32
2277,52
2278,37
2279,25
2280,38
2281,48
2282,36
2283,53
2284,68
2285,78
2286,38
2287,26
2288,50
2289,28
2290,28
2291,62
2292,53
2293,35
2294,64
2295,47
2296,22
2297,44
2298,53
2299,42
2300,37
2301,83
2302,64
2303,50
2304,76
2305,42
2306,30
2307,35
2308,72
2309,33
2310,41
2311,37
2312,43
2313,39
2314,62
2315,31
2316,50
2317,71
2318,49
2319,53
2320,59
2321,68
2322,77
2323,49
2324,19
2325,35
2326,44
2327,22
2328,70
2329,46
2330,43
2331,15
2332,67
2333,32
2334,43
2335,34
2336,45
2337,71
2338,50
2339,41
2340,42
2341,35
2342,69
2343,83
2344,50
2345,51
2346,42
2347,76
2348,54
2349,61
2350,59
2351,49
2352,67
2353,34
2354,36
2355,45
2356,65
2357,55
2358,62
2359,26
2360,24
2361,39
2362,70
2363,28
2364,39
2365,51
2366,52
2367,36
2368,40
2369,43
2370,32
2371,36
2372,39
2373,66
2374,79
2375,40
2376,46
2377,58
2378,48
2379,38
2380,37
2381,37
2382,35
2383,34
2384,30
2385,41
2386,56
2387,36
2388,70
2389,43
2390,28
2391,35
2392,44
2393,64
2394,32
2395,4
2396,63
2397,33
2398,59
2399,36
2400,38
2401,59
2402,63
2403,43
2404,48
2405,11
2406,52
2407,45
2408,17
2409,53
2410,44
2411,53
2412,74
2413,52
2414,30
2415,82
2416,45
2417,55
2418,26
2419,69
2420,55
2421,35
2422,40
2423,43
2424,33
2425,66
2426,48
2427,32
2428,50
2429,36
2430,63
2431,49
2432,45
2433,69
2434,58
2435,80
2436,45
2437,65
2438,49
2439,53
2440,22
2441,35
2442,39
2443,49
2444,24
2445,69
2446,32
2447,38
2448,36
2449,56
2450,82
2451,50
2452,35
2453,39
2454,15
2455,68
2456,29
2457,74
2458,64
2459,44
2460,35
2461,82
2462,48
2463,47
2464,48
2465,42
2466,35
2467,31
2468,50
2469,29
2470,41
2471,63
2472,74
2473,51
2474,26
2475,44
2476,52
2477,50
2478,68
2479,66
2480,32
2481,49
2482,84
2483,40
2484,57
2485,70
2486,80
2487,64
2488,77
2489,66
2490,57
2491,52
2492,58
2493,39
2494,26
2495,51
2496,38
2497,33
2498,48
2499,77
2500,47
2501,47
2502,32
2503,38
2504,63
2505,59
2506,49
2507,44
2508,31
2509,52
2510,76
2511,28
2512,42
2513,69
2514,43
2515,68
2516,43
2517,34
2518,36
2519,45
2520,64
2521,68
2522,39
2523,39
2524,75
2525,69
2526,24
2527,36
2528,49
2529,56
2530,52
2531,11
2532,40
2533,42
2534,33
2535,25
2536,77
2537,58
2538,24
2539,66
2540,38
2541,34
2542,44
2543,40
2544,54
2545,58
2546,44
2547,41
2548,63
2549,43
2550,62
2551,35
2552,26
2553,38
2554,54
2555,59
2556,37
2557,31
2558,49
2559,73
2560,57
2561,31
2562,79
2563,45
2564,53
2565,44
2566,29
2567,24
2568,24
2569,64
2570,38
2571,35
2572,42
2573,29
2574,54
2575,34
2576,68
2577,58
2578,34
2579,33
2580,43
2581,57
2582,41
2583,26
2584,3
2585,80
2586,25
2587,79
2588,31
2589,70
2590,33
2591,67
2592,23
2593,47
2594,29
2595,37
2596,55
2597,39
2598,64
2599,38
2600,32
2601,68
2602,45
2603,34
2604,21
2605,73
2606,55
2607,35
2608,77
2609,47
2610,32
2611,46
2612,43
2613,48
2614,32
2615,32
2616,51
2617,60
2618,7
2619,63
2620,76
2621,53
2622,45
2623,53
2624,67
2625,40
2626,60
2627,58
2628,44
2629,31
2630,38
2631,25
2632,64
2633,38
2634,35
2635,44
2636,57
2637,45
2638,28
2639,43
2640,42
2641,34
2642,29
2643,47
2644,20
2645,25
2646,64
2647,21
2648,57
2649,48
2650,24
2651,72
2652,41
2653,65
2654,37
2655,39
2656,64
2657,53
2658,49
2659,38
2660,32
2661,46
2662,57
2663,38
2664,43
2665,44
2666,68
2667,30
2668,28
2669,52
2670,46
2671,49
2672,63
2673,67
2674,73
2675,84
2676,46
2677,84
2678,36
2679,60
2680,48
2681,57
2682,77
2683,35
2684,43
2685,61
2686,33
2687,78
2688,51
2689,49
2690,46
2691,27
2692,65
2693,27
2694,81
2695,23
2696,51
2697,64
2698,71
2699,29
2700,34
2701,43
2702,60
2703,78
2704,40
2705,52
2706,49
2707,49
2708,65
2709,32
2710,59
2711,40
2712,41
2713,50
2714,30
2715,50
2716,66
2717,30
2718,39
2719,58
2720,64
2721,74
2722,51
2723,21
2724,21
2725,13
2726,39
2727,56
2728,29
2729,32
2730,36
2731,36
2732,57
2733,77
2734,41
2735,25
2736,75
2737,43
2738,75
2739,62
2740,60
2741,33
2742,44
2743,66
2744,57
2745,46
2746,50
2747,46
2748,35
2749,30
2750,75
2751,53
2752,49
2753,53
2754,59
2755,78
2756,55
2757,52
2758,47
2759,54
2760,36
2761,25
2762,52
2763,60
2764,41
2765,29
2766,30
2767,25
2768,60
2769,52
2770,29
2771,54
2772,47
2773,55
2774,43
2775,53
2776,42
2777,45
2778,17
2779,48
2780,48
2781,39
2782,75
2783,44
2784,44
2785,45
2786,51
2787,37
2788,62
2789,63
2790,50
2791,72
2792,33
2793,36
2794,37
2795,31
2796,94
2797,42
2798,38
2799,50
2800,47
2801,67
2802,45
2803,35
2804,43
2805,40
2806,44
2807,54
2808,35
2809,66
2810,37
2811,41
2812,40
2813,59
2814,33
2815,49
2816,42
2817,41
2818,38
2819,51
2820,43
2821,59
2822,33
2823,47
2824,35
2825,30
2826,34
2827,58
2828,70
2829,28
2830,84
2831,34
2832,39
2833,42
2834,41
2835,39
2836,59
2837,49
2838,61
2839,53
2840,33
2841,58
2842,31
2843,60
2844,53
2845,37
2846,62
2847,18
2848,28
2849,41
2850,28
2851,47
2852,50
2853,38
2854,52
2855,65
2856,43
2857,23
2858,84
2859,25
2860,40
2861,61
2862,51
2863,45
2864,34
2865,32
2866,59
2867,40
2868,45
2869,36
2870,54
2871,46
2872,56
2873,59
2874,37
2875,35
2876,46
2877,39
2878,39
2879,50
2880,57
2881,45
2882,37
2883,37
2884,46
2885,31
2886,37
2887,47
2888,43
2889,85
2890,75
2891,48
2892,40
2893,63
2894,66
2895,17
2896,53
2897,62
2898,8
2899,74
2900,61
2901,45
2902,34
2903,32
2904,36
2905,28
2906,43
2907,59
2908,70
2909,91
2910,33
2911,77
2912,77
2913,42
2914,34
2915,54
2916,77
2917,43
2918,36
2919,54
2920,66
2921,42
2922,40
2923,37
2924,31
2925,47
2926,28
2927,43
2928,72
2929,67
2930,47
2931,35
2932,66
2933,51
2934,21
2935,55
2936,26
2937,48
2938,0
2939,58
2940,42
2941,22
2942,46
2943,45
2944,62
2945,26
2946,59
2947,47
2948,26
2949,20
2950,42
2951,29
2952,42
2953,36
2954,28
2955,69
2956,33
2957,39
2958,44
2959,46
2960,46
2961,25
2962,12
2963,40
2964,35
2965,62
2966,53
2967,34
2968,44
2969,67
2970,45
2971,1
2972,43
2973,60
2974,44
2975,56
2976,47
2977,35
2978,62
2979,22
2980,34
2981,52
2982,52
2983,42
2984,29
2985,58
2986,30
2987,45
2988,60
2989,33
2990,65
2991,37
2992,41
2993,72
2994,60
2995,61
2996,41
